Year,Month,Mdate,Sensor_Name,Count,Rank
2009,August,22,Melbourne Central,30102,2.0
2009,August,22,Bourke Street Mall (South),28467,3.0
2009,August,22,Princes Bridge,25245,4.0
2009,August,22,Flinders Street Station Underpass,19525,5.0
2009,August,22,Bourke Street Mall (North),19381,6.0
2009,August,22,State Library,16726,7.0
2009,August,22,Australia on Collins,13663,8.0
2009,August,22,Sandridge Bridge,7533,9.0
2009,August,22,New Quay,7202,10.0
2009,August,23,Town Hall (West),28861,1.0
2009,August,23,Melbourne Central,22037,2.0
2009,August,23,Bourke Street Mall (South),21582,3.0
2009,August,23,Princes Bridge,20608,4.0
2009,August,23,Flinders Street Station Underpass,16130,5.0
2009,August,23,Bourke Street Mall (North),13576,6.0
2009,August,23,State Library,12553,7.0
2009,August,23,Australia on Collins,9497,8.0
2009,August,23,New Quay,8388,9.0
2009,August,23,Waterfront City,6958,10.0
2009,August,24,Town Hall (West),29168,1.0
2009,August,24,Flagstaff Station,26929,2.0
2009,August,24,Bourke Street Mall (South),24590,3.0
2009,August,24,Flinders Street Station Underpass,24245,4.0
2009,August,24,Princes Bridge,22151,5.0
2009,August,24,Melbourne Central,21556,6.0
2009,August,24,Bourke Street Mall (North),16166,7.0
2009,August,24,State Library,15912,8.0
2009,August,24,Australia on Collins,15660,9.0
2009,August,24,Collins Place (South),13181,10.0
2009,August,25,Town Hall (West),27805,1.0
2009,August,25,Flagstaff Station,25638,2.0
2009,August,25,Flinders Street Station Underpass,23404,3.0
2009,August,25,Bourke Street Mall (South),23390,4.0
2009,August,25,Melbourne Central,21301,5.0
2009,August,25,Princes Bridge,17534,6.0
2009,August,25,Australia on Collins,15168,7.0
2009,August,25,State Library,15005,8.0
2009,August,25,Bourke Street Mall (North),14403,9.0
2009,August,25,Collins Place (South),12764,10.0
2009,August,26,Town Hall (West),30998,1.0
2009,August,26,Bourke Street Mall (South),25647,2.0
2009,August,26,Flagstaff Station,25143,3.0
2009,August,26,Melbourne Central,24978,4.0
2009,August,26,Flinders Street Station Underpass,24962,5.0
2009,August,26,Princes Bridge,21932,6.0
2009,August,26,State Library,17548,7.0
2009,August,26,Bourke Street Mall (North),16416,8.0
2009,August,26,Australia on Collins,15967,9.0
2009,August,26,Collins Place (South),13697,10.0
2009,August,27,Town Hall (West),35218,1.0
2009,August,27,Bourke Street Mall (South),29065,2.0
2009,August,27,Melbourne Central,27898,3.0
2009,August,27,Flinders Street Station Underpass,26878,4.0
2009,August,27,Flagstaff Station,25595,5.0
2009,August,27,Princes Bridge,22706,6.0
2009,August,27,Bourke Street Mall (North),19506,7.0
2009,August,27,State Library,19285,8.0
2009,August,27,Australia on Collins,18096,9.0
2009,August,27,Collins Place (South),14182,10.0
2009,August,28,Town Hall (West),42783,1.0
2009,August,28,Bourke Street Mall (South),35622,2.0
2009,August,28,Melbourne Central,34009,3.0
2009,August,28,Flinders Street Station Underpass,29027,4.0
2009,August,28,Princes Bridge,26983,5.0
2009,August,28,Bourke Street Mall (North),24915,6.0
2009,August,28,Flagstaff Station,23759,7.0
2009,August,28,Australia on Collins,21100,8.0
2009,August,28,State Library,20803,9.0
2009,August,28,Collins Place (South),14339,10.0
2009,August,29,Town Hall (West),34413,1.0
2009,August,29,Bourke Street Mall (South),27828,2.0
2009,August,29,Melbourne Central,25800,3.0
2009,August,29,Princes Bridge,23215,4.0
2009,August,29,Bourke Street Mall (North),17656,5.0
2009,August,29,Flinders Street Station Underpass,16366,6.0
2009,August,29,State Library,13451,7.0
2009,August,29,Australia on Collins,13298,8.0
2009,August,29,Sandridge Bridge,6286,9.0
2009,August,29,New Quay,5182,10.0
2009,August,30,Town Hall (West),26270,1.0
2009,August,30,Bourke Street Mall (South),20990,2.0
2009,August,30,Melbourne Central,20603,3.0
2009,August,30,Princes Bridge,19386,4.0
2009,August,30,Flinders Street Station Underpass,15438,5.0
2009,August,30,Bourke Street Mall (North),13719,6.0
2009,August,30,State Library,12083,7.0
2009,August,30,Australia on Collins,9320,8.0
2009,August,30,New Quay,9276,9.0
2009,August,30,Waterfront City,7849,10.0
2009,August,31,Town Hall (West),28976,1.0
2009,August,31,Flagstaff Station,26092,2.0
2009,August,31,Bourke Street Mall (South),23958,3.0
2009,August,31,Flinders Street Station Underpass,23956,4.0
2009,August,31,Melbourne Central,20130,5.0
2009,August,31,Princes Bridge,17584,6.0
2009,August,31,Australia on Collins,16166,7.0
2009,August,31,Bourke Street Mall (North),15087,8.0
2009,August,31,State Library,13837,9.0
2009,August,31,Collins Place (South),12907,10.0
2009,December,1,Town Hall (West),36950,1.0
